Ticker,term,Dates,Beta,Standard Error,t-value,p-value
CL,Market Returns,2022-10-03 - 2024-09-20,0.24372461292987596,0.21938279091574123,1.1109559319239573,0.27914587927507983
EQIX,Market Returns,2022-10-03 - 2024-09-20,1.4601112724247063,0.2815907880217073,5.1852238586446555,3.8753568341505456e-5
CEG,Market Returns,2022-10-03 - 2024-09-20,0.9394263370167357,0.48433601446761915,1.9396169373226366,0.06597696723494476
CMG,Market Returns,2022-10-03 - 2024-09-20,1.2447939951520186,0.4502401866723867,2.7647332068511736,0.011610765634508047
PH,Market Returns,2022-10-03 - 2024-09-20,1.1235303303423414,0.33666597636262446,3.3372256456713694,0.0031256903235903845
TDG,Market Returns,2022-10-03 - 2024-09-20,1.0392116698391207,0.22772523541936254,4.563445363994828,1.6899670337416136e-4
PYPL,Market Returns,2022-10-03 - 2024-09-20,1.366135504376762,0.4983750671839226,2.7411794737167243,0.01223710059280195
APH,Market Returns,2022-10-03 - 2024-09-20,1.1263650440463884,0.21699410622920104,5.1907633051409245,3.8253027454694315e-5
CME,Market Returns,2022-10-03 - 2024-09-20,0.27860857159307856,0.23996757652251802,1.1610259003758974,0.2586594534125837
SNPS,Market Returns,2022-10-03 - 2024-09-20,0.8272151571406827,0.3891601772194684,2.125641845090875,0.04556203065699045
GD,Market Returns,2022-10-03 - 2024-09-20,0.169868416864071,0.21365219758374243,0.7950698321157681,0.4354674810236848
WM,Market Returns,2022-10-03 - 2024-09-20,0.7080769873443993,0.2356302164639231,3.0050347445689827,0.006743766597793962
AON,Market Returns,2022-10-03 - 2024-09-20,0.949635287417873,0.34777383248101656,2.7306116755340106,0.01252842543199364
HCA,Market Returns,2022-10-03 - 2024-09-20,1.3069400414884733,0.36643145879940103,3.566669864455998,0.0018217060653395458
MSI,Market Returns,2022-10-03 - 2024-09-20,0.907250489219076,0.22631011744457857,4.008881703847173,6.360730622130435e-4
MMM,Market Returns,2022-10-03 - 2024-09-20,0.8520813863803731,0.47772288850996314,1.7836310691289026,0.08894346092808626
PLTR,Market Returns,2022-10-03 - 2024-09-20,1.7141533005493186,1.137764582786513,1.5065975215638765,0.1468096134440632
WELL,Market Returns,2022-10-03 - 2024-09-20,0.9170301685264189,0.2698683986152732,3.398064290712843,0.0027103455763377695
MCO,Market Returns,2022-10-03 - 2024-09-20,1.5909997470982977,0.21030064930451692,7.565358225758581,1.9927399973522567e-7
CDNS,Market Returns,2022-10-03 - 2024-09-20,1.072890735946793,0.3241359068192077,3.3100027284086613,0.0033310959216095747
CVS,Market Returns,2022-10-03 - 2024-09-20,0.6116861482954226,0.4256928193568096,1.4369191127527947,0.16547381980403142
NOC,Market Returns,2022-10-03 - 2024-09-20,-0.47082806695196927,0.32937315225284697,-1.4294670459070473,0.1675787802992147
PNC,Market Returns,2022-10-03 - 2024-09-20,1.1317049677009592,0.4628455297806027,2.4451029444692014,0.023383727336293986
TGT,Market Returns,2022-10-03 - 2024-09-20,1.6845376915725514,0.3609175148684764,4.6673758467677064,1.3192165768221957e-4
CTAS,Market Returns,2022-10-03 - 2024-09-20,0.6919418287561468,0.1864906379161109,3.7103301081923648,0.0012959094178568529
EOG,Market Returns,2022-10-03 - 2024-09-20,0.6491429907586886,0.3500662010333992,1.854343518004342,0.07778810235207573
